# #JD, mag, error
1.005417470184082049e+03,9.998973579357088859e-01,1.737451580277401696e-04
1.005437902832854888e+03,9.997341585451190449e-01,1.737837571308780392e-04
1.005458335681389144e+03,1.000000000000000000e+00,1.737844401138542575e-04
1.005478768429929914e+03,9.998848700874066742e-01,1.737844477767958278e-04
1.005499201178005023e+03,9.997545810498001950e-01,1.737818753699453349e-04
1.005519633926072856e+03,9.998850618051839945e-01,1.738024761397709761e-04
1.005540066673915135e+03,1.000047973167264237e+00,1.738110833756076942e-04
1.005560499421524582e+03,9.997080353040295186e-01,1.738030839436639666e-04
1.005580932168893924e+03,1.000115143169016285e+00,1.737978283284675877e-04
1.005601364916037710e+03,1.000351954725649417e+00,1.738220450245435184e-04
1.005621797663181496e+03,1.000066975026854710e+00,1.737792340699826797e-04
1.005642230410085176e+03,9.998266123135770567e-01,1.737977487398747643e-04
1.005662663156763301e+03,9.999310095481249716e-01,1.738062289911660179e-04
1.005683095903208596e+03,9.996791275339472760e-01,1.738043534450094845e-04
1.005703528649413784e+03,9.997140452984872860e-01,1.737877371032570475e-04
1.005723961495627009e+03,1.000666140113389613e+00,1.738773931306375974e-04
1.005744394241366535e+03,9.999324441875276914e-01,1.738174828154302341e-04
1.005764826887112577e+03,1.000436647320151362e+00,1.738574348763913800e-04
1.005785259732860141e+03,1.000088481061358170e+00,1.738139852254201383e-04
1.005805692478134006e+03,9.999975047805046424e-01,1.738405640778064665e-04
1.005826125123181555e+03,1.000440311369620749e+00,1.738700747640704099e-04
1.005846557968230627e+03,1.000334125180896594e+00,1.738845137984893136e-04
1.005866990713038831e+03,9.999399130870639807e-01,1.738587226226603194e-04
1.005887423357620719e+03,1.000381085269412829e+00,1.738817312395417617e-04
1.005907856201971299e+03,9.998044460163003633e-01,1.739018499978663775e-04
1.005928288946081011e+03,9.998128913716809452e-01,1.738822152129755193e-04
1.005948721790198761e+03,9.995739185543108807e-01,1.738902043729824627e-04
1.005969154434082157e+03,1.000000000000000000e+00,1.739285237423934003e-04
1.005989587177726207e+03,1.000195592232539843e+00,1.739290186909286549e-04
1.006010020021145465e+03,9.996222559787065753e-01,1.738596663692236661e-04
1.006030452664563200e+03,9.998775647190494276e-01,1.739188781826871166e-04
1.006050885407508758e+03,1.000328435956284956e+00,1.739552440676495515e-04
1.006071318250462355e+03,1.000000000000000000e+00,1.739450801854853428e-04
1.006091750893181597e+03,1.000119184543387885e+00,1.739619047692148816e-04
1.006112183635661495e+03,1.000003265340618341e+00,1.739536098002896023e-04
1.006132616477916599e+03,1.000388309194389480e+00,1.739646565526492192e-04
1.006153049120170181e+03,9.999719538494830084e-01,1.739343942737744551e-04
1.006173481862184417e+03,1.000157712541902555e+00,1.739627821115209726e-04
1.006193914703973860e+03,9.999027962316058282e-01,1.739492857460554905e-04
