# #JD, mag, error
2.611032450798811624e+02,4.159388671875000000e+04,7.222849845886230469e+00
2.611236778375023277e+02,4.156699609375000000e+04,7.223658084869384766e+00
2.611441106948841480e+02,4.158391406250000000e+04,7.223644256591796875e+00
2.611645433518060599e+02,4.156657812500000000e+04,7.222968578338623047e+00
2.611849761089542881e+02,4.156994921875000000e+04,7.224010467529296875e+00
2.612054087656433694e+02,4.161177343750000000e+04,7.226737976074218750e+00
2.612258416221011430e+02,4.156181250000000000e+04,7.224081993103027344e+00
2.612462743785581551e+02,4.156954687500000000e+04,7.222797393798828125e+00
2.612667070345414686e+02,4.157910937500000000e+04,7.222463607788085938e+00
2.612871398905335809e+02,4.155913281250000000e+04,7.223661422729492188e+00
2.613075726462848252e+02,4.156842968750000000e+04,7.222174644470214844e+00
2.613280054018105147e+02,4.157287890625000000e+04,7.223677635192871094e+00
2.613484380573354429e+02,4.157600000000000000e+04,7.223999023437500000e+00
2.613688709123962326e+02,4.156425390625000000e+04,7.224287033081054688e+00
2.613893036674489849e+02,4.157788281250000000e+04,7.224204063415527344e+00
2.614097363222754211e+02,4.157040625000000000e+04,7.225172042846679688e+00
2.614301691766304430e+02,4.156618359375000000e+04,7.225069522857666016e+00
2.614506019309919793e+02,4.156144531250000000e+04,7.224189758300781250e+00
2.614914674392493907e+02,4.154616796875000000e+04,7.222975254058837891e+00
2.615119001931379898e+02,4.155431640625000000e+04,7.225252628326416016e+00
2.615323328465674422e+02,4.157089062500000000e+04,7.224522113800048828e+00
2.615527655999976560e+02,4.156146093750000000e+04,7.224301338195800781e+00
2.615731984531885246e+02,4.156093359375000000e+04,7.224256992340087891e+00
2.615936312063859077e+02,4.154125781250000000e+04,7.222743511199951172e+00
2.616140638591168681e+02,4.155836718750000000e+04,7.223094940185546875e+00
2.616344967116092448e+02,4.154273046875000000e+04,7.223913192749023438e+00
2.616549294641081360e+02,4.154262890625000000e+04,7.223315238952636719e+00
2.616753621163734351e+02,4.154494531250000000e+04,7.223661422729492188e+00
2.616957948683993891e+02,4.154469921875000000e+04,7.223771572113037109e+00
2.617162277202005498e+02,4.154635156250000000e+04,7.222838878631591797e+00
2.617366603720001876e+02,4.154040625000000000e+04,7.223185062408447266e+00
2.617570931233276497e+02,4.153317187500000000e+04,7.223021507263183594e+00
2.617775259746631491e+02,4.153932031250000000e+04,7.222986698150634766e+00
2.617979586257642950e+02,4.155038281250000000e+04,7.223913669586181641e+00
2.618183913766260957e+02,4.155455468750000000e+04,7.222626686096191406e+00
2.618388241272623418e+02,4.154330859375000000e+04,7.222766876220703125e+00
2.618592568776657572e+02,4.154413281250000000e+04,7.223576068878173828e+00
2.618796896280618967e+02,4.156175390625000000e+04,7.224144458770751953e+00
2.619001223779996508e+02,4.153622265625000000e+04,7.223739147186279297e+00
2.619205552279308904e+02,4.154757421875000000e+04,7.224764823913574219e+00
2.619409878776350524e+02,4.155094140625000000e+04,7.224373340606689453e+00
2.619614206271071453e+02,4.153955078125000000e+04,7.223703384399414062e+00
2.619818534763398929e+02,4.154878906250000000e+04,7.224531173706054688e+00
2.620022861255783937e+02,4.155642578125000000e+04,7.224829673767089844e+00
2.620227188745848252e+02,4.155611328125000000e+04,7.224386692047119141e+00
2.620431515233576647e+02,4.153452734375000000e+04,7.224014759063720703e+00
2.620635843718919205e+02,4.154408593750000000e+04,7.223030567169189453e+00
2.620840171201998601e+02,4.153537890625000000e+04,7.222783088684082031e+00
2.621044498682749690e+02,4.153087500000000000e+04,7.223736286163330078e+00
2.621248826163428021e+02,4.152857812500000000e+04,7.222954273223876953e+00
2.621453153639522498e+02,4.152571484375000000e+04,7.224640369415283203e+00
2.621657481115544215e+02,4.152972265625000000e+04,7.223140716552734375e+00
2.621861807589302771e+02,4.152147265625000000e+04,7.223729610443115234e+00
2.622066136060748249e+02,4.152315625000000000e+04,7.223678588867187500e+00
2.622270463532186113e+02,4.150998437500000000e+04,7.222392082214355469e+00
2.622474789998886990e+02,4.153419140625000000e+04,7.222937107086181641e+00
2.622679118465675856e+02,4.152130078125000000e+04,7.224647521972656250e+00
2.622883444930121186e+02,4.155732812500000000e+04,7.224728584289550781e+00
2.623087772392173065e+02,4.152696093750000000e+04,7.223548412322998047e+00
2.623292099851969397e+02,4.151814062500000000e+04,7.222728252410888672e+00
2.623496427311765729e+02,4.152332812500000000e+04,7.222616672515869141e+00
2.623700754766832688e+02,4.152146093750000000e+04,7.224315643310546875e+00
2.623905082221972407e+02,4.150401562500000000e+04,7.222637653350830078e+00
2.624109409674783819e+02,4.151694531250000000e+04,7.223932743072509766e+00
2.624313737125194166e+02,4.152781640625000000e+04,7.224419593811035156e+00
2.624518064575677272e+02,4.150336328125000000e+04,7.223340034484863281e+00
2.624722393021511380e+02,4.151432031250000000e+04,7.224458694458007812e+00
2.624926719467257499e+02,4.152184765625000000e+04,7.224432468414306641e+00
2.625131046910755686e+02,4.151181640625000000e+04,7.222602844238281250e+00
2.625335373351917951e+02,4.153121875000000000e+04,7.224637508392333984e+00
2.625539701790694380e+02,4.153489453125000000e+04,7.224722862243652344e+00
2.625744029227207648e+02,4.153304296875000000e+04,7.222885131835937500e+00
2.625948355663713301e+02,4.152948437500000000e+04,7.224323749542236328e+00
2.626152684097833117e+02,4.152728515625000000e+04,7.223872661590576172e+00
2.626357011529689771e+02,4.151407812500000000e+04,7.223762512207031250e+00
2.626561338959218119e+02,4.151878906250000000e+04,7.224865436553955078e+00
2.626765665386337787e+02,4.150720312500000000e+04,7.224022865295410156e+00
2.626969993811217137e+02,4.151289453125000000e+04,7.225075244903564453e+00
2.627174321236088872e+02,4.151326171875000000e+04,7.224318504333496094e+00
2.627378647658551927e+02,4.152098437500000000e+04,7.225219726562500000e+00
2.627582976078774664e+02,4.151276562500000000e+04,7.224713802337646484e+00
