# #JD, mag, error
2.615936312063859077e+02,9.996132977449450063e-01,1.738019222379916066e-04
2.616140638591168681e+02,1.000046717353898940e+00,1.738141527908918904e-04
2.616344967116092448e+02,9.996779580320848124e-01,1.738351501705149172e-04
2.616549294641081360e+02,9.997130090470301989e-01,1.738272806260026478e-04
2.616753621163734351e+02,9.997744856717558637e-01,1.738366082625056243e-04
2.616957948683993891e+02,9.998497702509561158e-01,1.738533791926662165e-04
2.617162277202005498e+02,9.999029792332313482e-01,1.738332691476112085e-04
2.617366603720001876e+02,9.997982417131967559e-01,1.738482691166505609e-04
2.617570931233276497e+02,9.996533529569218146e-01,1.738494158343306282e-04
2.617775259746631491e+02,9.998307613127130899e-01,1.738536941633678364e-04
2.617979586257642950e+02,1.000101449639186235e+00,1.738767742676010700e-04
2.618183913766260957e+02,1.000231300701631021e+00,1.738509133125048318e-04
2.618388241272623418e+02,9.999665270172573006e-01,1.738553175746887090e-04
2.618592568776657572e+02,1.000000000000000000e+00,1.738771657957127867e-04
2.618796896280618967e+02,1.000425282404253213e+00,1.738910435925571281e-04
2.619001223779996508e+02,9.998294325189817089e-01,1.738845410178297020e-04
2.619205552279308904e+02,1.000116596813578340e+00,1.739116505437290298e-04
2.619409878776350524e+02,1.000200095666038846e+00,1.739026520663885448e-04
2.619614206271071453e+02,9.999589075694890195e-01,1.738922643364390576e-04
2.619818534763398929e+02,1.000201799001424030e+00,1.739157563897453435e-04
2.620022861255783937e+02,1.000406145272305425e+00,1.739265075930429029e-04
2.620227188745848252e+02,1.000398716396506460e+00,1.739158598534493920e-04
2.620431515233576647e+02,9.998846161007464151e-01,1.739078710175686725e-04
2.620635843718919205e+02,1.000189311418977045e+00,1.738971457984115167e-04
2.620840171201998601e+02,1.000000000000000000e+00,1.738947200887877370e-04
2.621044498682749690e+02,9.998979590781106319e-01,1.739187813753792597e-04
2.621248826163428021e+02,9.998479253090375440e-01,1.739008694915422139e-04
2.621453153639522498e+02,9.997878271268849648e-01,1.739430019179555385e-04
2.621657481115544215e+02,9.998872358082643297e-01,1.739074027705099241e-04
2.621861807589302771e+02,9.996937763907428609e-01,1.739224808733389708e-04
2.622066136060748249e+02,9.997533047337370249e-01,1.739245566515505075e-04
2.622270463532186113e+02,9.994417113128324370e-01,1.738945463628728712e-04
2.622474789998886990e+02,1.000027651176458754e+00,1.739082087609331441e-04
2.622679118465675856e+02,9.997296922865521740e-01,1.739515503638102865e-04
2.622883444930121186e+02,1.000628668644596431e+00,1.739589831875461247e-04
