\fixlen = T
|set|pl_orbper       |pl_bmassj|
|int|double          |double   |
 0   18.02000000      0.66500   
 0   1116.00000000    1.16000   
 0   379.00000000     5.90000   
 0   380.20000000     1.54200   
 0   2527.83000000    8.62200   
 0   1157.00000000    1.22000   
 0   1684.00000000    0.47000   
 0   847.00000000     1.54700   
 0   466.00000000     0.62000   
 0   157.54000000     3.04000   
 0   326.00000000     1.38500   
 0   18.19910000      0.32900   
 0   388.00000000     9.10000   
 0   1049.00000000    0.82000   
 0   154.37800000     0.67500   
 0   885.50000000     0.65200   
 0   1862.00000000    0.69600   
 0   55.01292000      2.69000   
 0   2720.00000000    3.19000   
 0   363.20001000     0.40000   
 0   14.30944000      0.79700   
 0   2136.10000000    12.99000  
 0   685.25000000     9.69800   
 0   2093.07000000    10.02000  
 0   4.31230000       0.01260   
 0   9.61840000       0.02080   
 0   20.43200000      0.02990   
 0   51.76000000      0.01640   
 0   197.80000000     0.02230   
 0   264.14999000     4.67000   
 0   963.00000000     2.54000   
 0   1.32830000       18.37000  
 0   327.80000000     0.60000   
 0   36.99870000      2.55000   
 0   472.30000000     0.58000   
 0   226.93000000     0.18720   
 0   342.85000000     0.65790   
 0   963.60000000     1.79000   
 0   44.07300000      0.43300   
 0   3.02357300       0.22600   
 0   4.08450000       0.07000   
 0   1353.60000000    0.35061   
 0   712.13000000     7.32000   
 0   778.51000000     1.52500   
 0   4.94737000       0.10000   
 0   2447.10000000    1.63600   
 0   1293.00000000    4.95400   
 0   119.27000000     1.21000   
 0   201.90000000     1.06000   
 0   600.10000000     2.51000   
 0   589.64000000     2.30000   
 0   2.81805000       0.25000   
 0   358.00000000     0.53000   
 0   577.60000000     1.29500   
 0   5370.00000000    2.03000   
 0   480.50000000     6.00000   
 0   2263.12000000    3.20400   
 0   352.20000000     3.06000   
 0   2374.00000000    4.85000   
 0   6.27711000       1.97000   
 0   8.66700000       0.03210   
 0   31.56000000      0.03710   
 0   197.00000000     0.05700   
 0   851.80000000     6.10000   
 0   2124.54000000    1.99300   
 0   3658.00000000    3.85000   
 0   1245.36000000    3.09700   
 0   188.30000000     3.08000   
 0   379.10000000     2.25000   
 0   1750.00000000    1.11200   
 0   51.64500000      1.80000   
 0   2473.00000000    8.06000   
 0   3.50927000       0.49000   
 0   341.20000000     1.00000   
 0   422.90000000     2.71000   
 0   3.97097000       0.21000   
 0   5.73610000       0.06000   
 0   1807.00000000    1.34000   
 0   111.43670000     4.38000   
 0   1001.70001000    7.27000   
 0   184.02000000     2.70000   
 0   441.47000000     1.68100   
 0   220.07800000     1.95900   
 0   705.00000000     2.33000   
 0   2.98570000       0.34000   
 0   799.52000000     0.09900   
 0   58.43000000      0.01000   
 0   2.13784310       1.48000   
 0   1695.00000000    0.92000   
 0   1475.00000000    7.00000   
 0   2754.00000000    1.54000   
 0   3.41488400       0.28450   
 0   2166.00000000    2.11000   
 0   256.78000000     8.35000   
 0   49.77000000      0.05700   
 0   325.80300000     3.76000   
 0   143.58000000     0.37000   
 0   464.40000000     1.26000   
 0   482.00000000     10.63000  
 0   362.50000000     1.27000   
 0   498.04000000     0.71700   
 0   647.29999000     20.96000  
